105,Ногинск,Московская область
106,Норильск,Красноярский край
107,Ноябрьск,Ямало-Ненецкий автономный округ
108,Обнинск,Калужская область
109,Одинцово,Московская область
110,Октябрьский,Республика Башкортостан
111,Омск,Омская область
112,Орел,Орловская область
113,Оренбург,Оренбургская область
114,Орехово-Зуево,Московская область
115,Орск,Оренбургская область
116,Пенза,Пензенская область
117,Первоуральск,Свердловская область
118,Пермь,Пермский край
119,Петрозаводск,Республика Карелия
120,Петропавловск-Камчатский,Камчатский Край
121,Подольск,Московская область
122,Прокопьевск,Кемеровская область
123,Псков,Псковская область
124,Пушкино,Московская область
125,Пятигорск,Ставропольский край
126,Раменское,Московская область
127,Реутов,Московская область
128,Ростов-на-Дону,Ростовская область
129,Рубцовск,Алтайский край
130,Рыбинск,Ярославская область
131,Рязань,Рязанская область
132,Салават,Республика Башкортостан
133,Салехард,Ямало-Ненецкий автономный округ
134,Самара,Самарская область
135,Санкт-Петербург,Санкт-Петербург
136,Саранск,Республика Мордовия
137,Саратов,Саратовская область
138,Севастополь,Севастополь
139,Северодвинск,Архангельская область
140,Северск,Томская область
141,Сергиев Посад,Московская область
142,Серпухов,Московская область
143,Симферополь,Республика Крым
144,Смоленск,Смоленская область
145,Сочи,Краснодарский край
146,Ставрополь,Ставропольский край
147,Старый Оскол,Белгородская область
148,Стерлитамак,Республика Башкортостан
149,Сургут,Ханты-Мансийский АО - Югра
150,Сызрань,Самарская область
151,Сыктывкар,Республика Коми
152,Таганрог,Ростовская область
153,Тамбов,Тамбовская область
154,Тверь,Тверская область
155,Тольятти,Самарская область
156,Томск,Томская область
157,Тула,Тульская область
158,Тюмень,Тюменская область
159,Улан-Удэ,Республика Бурятия
160,Ульяновск,Ульяновская область
161,Уссурийск,Приморский край
162,Уфа,Республика Башкортостан
163,Хабаровск,Хабаровский край
164,Ханты-Мансийск,Ханты-Мансийский АО - Югра
165,Хасавюрт,Республика Дагестан
166,Химки,Московская область
167,Чебоксары,Чувашская Республика
168,Челябинск,Челябинская область
169,Череповец,Вологодская область
170,Черкесск,Карачаево-Черкесская Республика
171,Чита,Забайкальский край
172,Шахты,Ростовская область
173,Щелково,Московская область
174,Электросталь,Московская область
175,Элиста,Республика Калмыкия
176,Энгельс,Саратовская область
177,Южно-Сахалинск,Сахалинская область
178,Якутск,Республика Саха (Якутия)
179,Ярославль,Ярославская область
